Year,name,Kulmiye,Kulmiye%,Wadani,Wadani%,Ucid,Won,Ucid%,Total,kulmiye,kulmiye%,wadani,wadani%,ucid,ucid%,won,total
2021,taleex,0,0,0,0,0,,0,0,6,67,3,33,0,0,kulmiye,9
2021,xudun,0,0,0,0,0,,0,0,7,78,2,22,0,0,kulmiye,9
2021,mjeex,8,40,7,35,5,Kulmiye,25,20,0,0,0,0,0,0,,0
2021,awdal,5,38,5,38,3,Neutral,23,13,0,0,0,0,0,0,,0
2021,sool,5,42,4,33,3,Kulmiye,25,12,0,0,0,0,0,0,,0
2021,sanaag,4,33,5,42,3,Wadani,25,12,0,0,0,0,0,0,,0
2021,saaxil,4,40,3,30,3,Kulmiye,30,10,0,0,0,0,0,0,,0
2021,togdheer,4,27,7,47,4,Wadani,27,15,0,0,0,0,0,0,,0
2021,baki,0,0,0,0,0,,0,0,3,33,5,56,1,11,wadani,9
2021,oodwayne,0,0,0,0,0,,0,0,4,36,6,55,1,9,wadani,11
2021,cerigabo,0,0,0,0,0,,0,0,5,38,6,46,2,15,wadani,13
2021,buuhoodle,0,0,0,0,0,,0,0,4,36,5,45,2,18,wadani,11
2021,garadag,0,0,0,0,0,,0,0,4,44,3,33,2,22,kulmiye,9
2021,baligubadle,0,0,0,0,0,,0,0,4,44,3,33,2,22,kulmiye,9
2021,lughaya,0,0,0,0,0,,0,0,5,56,2,22,2,22,kulmiye,9
2021,lascanod,0,0,0,0,0,,0,0,5,38,5,38,3,23,Neutral,13
2021,borame,0,0,0,0,0,,0,0,5,38,5,38,3,23,Neutral,13
2021,saylac,0,0,0,0,0,,0,0,4,36,4,36,3,27,Neutral,11
2021,sheekh,0,0,0,0,0,,0,0,3,33,3,33,3,33,Neutral,9
2021,berbera,0,0,0,0,0,,0,0,6,46,4,31,3,23,kulmiye,13
2021,ceelafwayn,0,0,0,0,0,,0,0,5,45,3,27,3,27,kulmiye,11
2021,caynaba,0,0,0,0,0,,0,0,4,44,2,22,3,33,kulmiye,9
2021,salaxlay,0,0,0,0,0,,0,0,4,44,2,22,3,33,kulmiye,9
2021,hargeisa,0,0,0,0,0,,0,0,6,35,7,41,4,24,wadani,17
2021,burco,0,0,0,0,0,,0,0,4,31,5,38,4,31,wadani,13
2021,gabilay,0,0,0,0,0,,0,0,4,31,5,38,4,31,wadani,13
2021,dhahar,0,0,0,0,0,No-Elections,0,0,0,0,0,0,0,0,No-Elections,0
2021,badhan,0,0,0,0,0,No-Elections,0,0,0,0,0,0,0,0,No-Elections,0
2021,lasqoray,0,0,0,0,0,No-Elections,0,0,0,0,0,0,0,0,No-Elections,0
